Ability Technology Limited;PEARCE;;"+610299079736
(00) 00000000";www.ability.org.au;info@ability.org.au;6 Hodgson Place, PEARCE, ACT, 2607
Able Australia Services;WANNIASSA;Accommodation/Tenancy;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Assess-Skill, Ability, Needs;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Assist-Integrate School/Ed;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Assist-Life Stage, Transition;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Assist-Personal Activities;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Behaviour Support;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Daily Tasks/Shared Living;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Development-Life Skills;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Equipment Special Assess Setup;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Household Tasks;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Participate Community;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
;;Plan Management;;;;C9 Block C, Erindale Business Park, 2 Lansell Circuit, WANNIASSA, ACT, 2903
Access Innovation Media Pty Ltd;MACQUARIE PARK;;;;;12 Waterloo Road, MACQUARIE PARK, NSW, 2113
ACT Deafness Resource Centre Inc;HOLDER;Assess-Skill, Ability, Needs;;;;Level 1B Grant Cameron Community Centre, 27 Mulley Street, HOLDER, ACT, 2611
;;Assist Prod-Pers Care/Safety;;;;Level 1B Grant Cameron Community Centre, 27 Mulley Street, HOLDER, ACT, 2611
;;Hearing Equipment;;;;Level 1B Grant Cameron Community Centre, 27 Mulley Street, HOLDER, ACT, 2611
ACT Disability Aged & Carer Advocacy Service Inc;WATSON;Assist-Life Stage, Transition;610262425060;adacas@adacas.org.au;adacas@adacas.org.au;Suite 104, Block C, Canberra Technology Park, 49 Phillip Ave, WATSON, ACT, 2602
ACT Education & Training Directorate Departmental;STIRLING;Assist-Integrate School/Ed;;;disabilityeducation@act.gov.au;Centre For Teaching And Learning, Fremantle Drive, STIRLING, ACT, 2611
;;Assist-Life Stage, Transition;;;disabilityeducation@act.gov.au;Centre For Teaching And Learning, Fremantle Drive, STIRLING, ACT, 2611
;;Assist-Travel/Transport;;;disabilityeducation@act.gov.au;Centre For Teaching And Learning, Fremantle Drive, STIRLING, ACT, 2611
;;Early Childhood Supports;;;disabilityeducation@act.gov.au;Centre For Teaching And Learning, Fremantle Drive, STIRLING, ACT, 2611
ACT Medicare Local Ltd;DEAKIN;;;;reception@actml.com.au;Unit 2, 1 Geils Circuit, DEAKIN, ACT, 2600
Alepho Pty Ltd;TUGGERANONG;Therapeutic Supports;610262939996;www.simpsyc.com;admin@simpsyc.com;Unit 10 Level 2 Lakeview House, 236 Cowlishaw St.,, TUGGERANONG, ACT, 2900
